chn 0,  Pts = 0,  LumPixSum = 151081690,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 154741283,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 157501133,  LumPixAverage=75!     

chn 0,  Pts = 0,  LumPixSum = 163228724,  LumPixAverage=78!     

chn 0,  Pts = 0,  LumPixSum = 171078964,  LumPixAverage=81!     

chn 0,  Pts = 0,  LumPixSum = 174130465,  LumPixAverage=83!     

chn 0,  Pts = 0,  LumPixSum = 175287462,  LumPixAverage=83!     

chn 0,  Pts = 0,  LumPixSum = 169705380,  LumPixAverage=81!     

chn 0,  Pts = 0,  LumPixSum = 159163321,  LumPixAverage=76!     

chn 0,  Pts = 0,  LumPixSum = 156416866,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 152058314,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 152414469,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 154275472,  LumPixAverage=73!     

chn 0,  Pts = 0,  LumPixSum = 156345204,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 167767325,  LumPixAverage=80!     

chn 0,  Pts = 0,  LumPixSum = 172873149,  LumPixAverage=82!     

chn 0,  Pts = 0,  LumPixSum = 180989555,  LumPixAverage=86!     

chn 0,  Pts = 0,  LumPixSum = 183308656,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 181477611,  LumPixAverage=86!     

chn 0,  Pts = 0,  LumPixSum = 181832865,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 185519682,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 185979378,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 185187511,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 186151084,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 189226664,  LumPixAverage=90!     

chn 0,  Pts = 0,  LumPixSum = 190197384,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 192599789,  LumPixAverage=92!     

chn 0,  Pts = 0,  LumPixSum = 194698670,  LumPixAverage=93!     

chn 0,  Pts = 0,  LumPixSum = 198165318,  LumPixAverage=94!     

chn 0,  Pts = 0,  LumPixSum = 199396803,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 200409410,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 202553845,  LumPixAverage=96!     

chn 0,  Pts = 0,  LumPixSum = 205668264,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 207044438,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 204847655,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204226851,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 205432491,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205132980,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 206760871,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205485109,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205512904,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205315279,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205768716,  LumPixAverage=98!     

